Rotulo,Direccion,CodPostal,CCAA,Provincia,Municipio,Localidad,Longitud,Latitud,FechaPvp,HoraPvp,Horario
MERKAOIL,IPINTZA KALEA 47,20100,Pa#s Vasco,GIPUZKOA,Lezo,LEZO,-1.879944,43.323611,15/09/2025,09:08,L-D: 24H
ONAINDIA LOWCOST,CALLE PORTAL DE GAMARRA 7,1013,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,VITORIA-GASTEIZ,-2.661139,42.865278,16/09/2025,11:16,L-D: 24H
E.S.EL CAMPILLO,POL.IND. EL CAMPILLO PARC. 1-2 FASE II,48500,Pa#s Vasco,BIZKAIA,Abanto y Ci#rvana-Abanto Zierbena,ABANTO,-3.078528,43.307222,19/09/2025,13:21,L-V: 06:00-22:00  S: 08:00-15:00
EUSKOIL-STAR PETROLEUM,CTRA.FORAL BI-633 km 323,48220,Pa#s Vasco,BIZKAIA,Abadi#o,ABADI#O-ZELAIETA,-2.597556,43.170556,19/09/2025,15:00,L: 07:00-22:00
ONROAD 24,CARRETERA GI-2132 ASTIGARRAGA-OIARTZUN KM. 10,20115,Pa#s Vasco,GIPUZKOA,Astigarraga,ASTIGARRAGA,-1.916778,43.281972,15/09/2025,08:59,L-V: 06:00-22:00  S: 07:00-22:00  D: 08:00-22:00
REPSOL,AUTOVIA VITORIA-ATUBE KM. 6,1196,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,ARANGUIZ,-2.702278,42.895667,19/09/2025,18:00,L-D: 06:00-22:00
SHELL,CARRETERA N-634 KM. 84,48215,Pa#s Vasco,BIZKAIA,Iurreta,IURRETA,-2.671556,43.185778,19/09/2025,14:00,L-V: 07:00-15:00
AVIA ,AVENIDA GARAY 23,1474,Pa#s Vasco,ARABA/#LAVA,Artziniega,ARTZINIEGA,-3.122528,43.123361,17/09/2025,19:08,L-D: 06:00-22:00
CEPSA,PASEO DR. BEGIRISTAIN 75,20014,Pa#s Vasco,GIPUZKOA,Donostia-San Sebasti#n,DONOSTIA-SAN SEBASTIAN,-1.96625,43.297083,19/09/2025,20:00,L-D: 24H
AVIA,POLIGONO ZUBIKOETA 1,20211,Pa#s Vasco,GIPUZKOA,Ataun,SAN MARTIN,-2.1765,43.015361,15/09/2025,14:23,L-D: 06:30-22:00
AVIA,CR GI-631  P.K. 1220 D,20730,Pa#s Vasco,GIPUZKOA,Azpeitia,AZPEITIA,-2.258778,43.189667,15/09/2025,09:30,L-S: 06:00-22:00  D: 09:00-22:00
BQ ENERGIES,CALLE TORREKUA 02,20600,Pa#s Vasco,GIPUZKOA,Eibar,EIBAR,-2.487861,43.180389,12/09/2025,11:20,L-D: 24H
E.S. ZESTOA-AVIA,CARRETERA GI-631 KM. 500,20740,Pa#s Vasco,GIPUZKOA,Zestoa,ZESTOA,-2.259444,43.241444,16/09/2025,09:17,L-S: 07:00-21:00  D: 07:00-14:00
"ANDAMUR ""SAN ROMAN""",POLIGONO OKITURRI S/N,1207,Pa#s Vasco,ARABA/#LAVA,San Mill#n/Donemiliaga,DURRUMA/SAN ROMAN DE SAN,-2.320361,42.8635,19/09/2025,00:00,L-D: 24H
SHELL,CARRETERA N-634 KM. 84,48215,Pa#s Vasco,BIZKAIA,Iurreta,IURRETA,-2.671,43.186278,19/09/2025,14:00,L-D: 24H
AVIA,SAN ANDR#S AUZOA 7 (BERGARA-VITORIA C-6213 km 803),20500,Pa#s Vasco,GIPUZKOA,Arrasate/Mondrag#n,ARRASATE/MONDRAGON,-2.4975,43.048694,18/09/2025,18:34,L-D: 24H
AVIA AJARTE,AVENIDA AIXARTE ,48480,Pa#s Vasco,BIZKAIA,Arrigorriaga,ARRIGORRIAGA,-2.898583,43.201194,19/09/2025,08:13,L-V: 06:00-22:00  S-D: 07:00-22:00
REPSOL,AUTOVIA N-1 km 358,1520,Pa#s Vasco,ARABA/#LAVA,Arrazua-Ubarrundia,ZURBANO,-2.616361,42.876861,19/09/2025,19:00,L-D: 06:00-22:00
AVIA,AVDA.DE NAVARRA 5,20013,Pa#s Vasco,GIPUZKOA,Donostia-San Sebasti#n,DONOSTIA-SAN SEBASTIAN,-1.970639,43.325889,19/09/2025,10:24,L-D: 07:00-21:50
AVIA-KANTOI,CALLE OTAOLA 13,20600,Pa#s Vasco,GIPUZKOA,Eibar,EIBAR,-2.482917,43.181611,15/09/2025,10:29,L-V: 06:00-22:00  S-D: 08:00-22:00
BP IRUN,AVENIDA NAVARRA 18,20304,Pa#s Vasco,GIPUZKOA,Irun,IRUN,-1.78225,43.339306,19/09/2025,00:00,L-D: 06:00-22:00
AVIA,BARRIO AKARREGI 23,20120,Pa#s Vasco,GIPUZKOA,Hernani,HERNANI,-1.968278,43.266944,17/09/2025,14:32,L-V: 06:30-21:30  S-D: 08:00-21:00
AVIA,CARRETERA GI-120 KM. 65,20210,Pa#s Vasco,GIPUZKOA,Lazkao,LAZKAO,-2.188333,43.041944,12/09/2025,14:19,L-D: 24H
ALIBARRA,CALLE ALIBARRA 34,1010,Pa#s Vasco,ARABA/#LAVA,Vitoria-Gasteiz,VITORIA-GASTEIZ,-2.7105,42.864944,08/09/2025,10:37,L-D: 24H
