Matricula,Modelo,Clasificación Energética, Consumo MIN, Consumo MAX, Emisiones MIN (gCO2/km), Emisiones MAX (gCO2/km), Motorización,kw_minimo,kw_maximo
4942 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 cv) S tronic 7 vel. MY21,B,4.5,4.5,117.0,117.0,Gasóleo,110.0,110.0
4943 AAA,Audi A3 Sedan NF 35 TDI 110 kW (150 CV) S tronic 7 vel. S line/Black line MY23,C,4.7,4.9,123.0,130.0,Gasóleo,110.0,110.0
4944 AAA,Audi A3 Sedan S line 30 TDI 85(116) kW(CV) 6 vel. MY25,B,4.6,4.7,120.0,123.0,Gasóleo,,
4945 AAA,Audi A3 Sedan S line 35 TDI 110(150) kW(CV) S tronic MY25,C,5.0,5.2,130.0,137.0,Gasóleo,,
4946 AAA,Audi A3 SPORTBACK 30 TDI 85 kW (116 CV) 6 vel. Launch edition MY 21,B,4.4,4.5,115.0,119.0,Gasóleo,85.0,85.0
4947 AAA,Audi A3 SPORTBACK 30 TDI 85 kW (116 CV) 6 vel. MY 20,D,5.2,5.7,136.0,150.0,Gasóleo,85.0,85.0
4948 AAA,Audi A3 SPORTBACK 30 TDI 85 kW (116 CV) 6 vel. MY19,D,5.2,5.7,137.0,150.0,Gasóleo,85.0,85.0
4949 AAA,Audi A4 LIMOUSINE 40 TDI quattro 140 kW (190 CV) S tronic MY 20,D,5.7,6.4,149.0,168.0,Gasóleo,140.0,140.0
4950 AAA,Audi A5 Avant Advanced TDI 150 kW S tronic MY25,B,4.9,5.1,128.0,134.0,Gasóleo,150.0,150.0
4951 AAA,Audi A5 Avant Advanced TDI quattro 150 kW S tronic MY25,B,5.1,5.2,134.0,138.0,Gasóleo,150.0,150.0
4952 AAA,Audi A5 Avant Black line TDI 150 kW S tronic MY25,B,5.0,5.5,131.0,145.0,Gasóleo,150.0,150.0
4953 AAA,Audi A5 Avant Black line TDI quattro 150 kW S tronic MY25,C,5.2,5.6,136.0,148.0,Gasóleo,150.0,150.0
4954 AAA,Audi A5 Avant Business TDI 150 kW S tronic MY25,B,4.9,5.5,127.0,145.0,Gasóleo,150.0,150.0
4955 AAA,Audi A5 Avant Business TDI quattro 150 kW S tronic MY25,B,5.1,5.6,133.0,147.0,Gasóleo,150.0,150.0
4956 AAA,Audi A5 Avant Launch edition TDI 150 kW S tronic MY25,B,5.0,5.5,130.0,145.0,Gasóleo,150.0,150.0
4957 AAA,Audi A5 Avant Launch edition TDI quattro 150 kW S tronic MY25,B,5.1,5.6,135.0,148.0,Gasóleo,150.0,150.0
4958 AAA,Audi A5 Avant S line TDI 150 kW S tronic MY25,B,5.0,5.5,130.0,145.0,Gasóleo,150.0,150.0
4959 AAA,Audi A5 Avant S line TDI quattro 150 kW S tronic MY25,B,5.1,5.6,135.0,148.0,Gasóleo,150.0,150.0
4960 AAA,Audi A5 CABRIO 35 TDI 120 kW (163 CV) S tronic 7 vel. Advanced MY22,C,5.4,5.4,143.0,143.0,Gasóleo,120.0,120.0
