Matricula,Modelo,Clasificación Energética, Consumo MIN, Consumo MAX, Emisiones MIN (gCO2/km), Emisiones MAX (gCO2/km), Motorización,kw_minimo,kw_maximo
4724 AAB,Peugeot Nuevo 2008 2008 Allure Puretech 130 S&S 6 Vel. MAN.,C,5.4,6.2,121.0,141.0,Gasolina,,
4725 AAB,Peugeot Nuevo 2008 2008 Allure PureTech 130 S&S EAT8,G,136.0,152.0,6.0,6.7,Gasolina,,
4726 AAB,Peugeot Nuevo 2008 2008 Allure PureTech 130 S&S EAT8,C,5.8,6.6,132.0,148.0,Gasolina,,
4727 AAB,Peugeot Nuevo 2008 2008 GT Line Puretech 130 S&S 6 Vel. MAN.,C,5.4,6.2,121.0,141.0,Gasolina,,
4728 AAB,Peugeot Nuevo 2008 2008 GT Line PureTech 130 S&S EAT8,G,136.0,152.0,6.0,6.7,Gasolina,,
4729 AAB,Peugeot Nuevo 2008 2008 GT Line PureTech 130 S&S EAT8,C,6.0,6.7,136.0,152.0,Gasolina,,
4730 AAB,Peugeot Nuevo 2008 2008 GT Pack PureTech 130 S&S EAT8,C,5.8,6.6,132.0,148.0,Gasolina,,
4731 AAB,Peugeot Nuevo 2008 2008 GT Pack PureTech 155 S&S EAT8,D,6.1,6.8,137.0,153.0,Gasolina,,
4732 AAB,Peugeot Nuevo 2008 2008 GT Puretech 130 S&S 6 Vel. MAN.,C,5.4,6.2,121.0,141.0,Gasolina,,
4733 AAB,Peugeot Nuevo 2008 2008 GT PureTech 130 S&S EAT8,C,5.8,6.6,132.0,148.0,Gasolina,,
4734 AAB,Peugeot Nuevo 2008 2008 GT PureTech 155 S&S EAT8,D,6.1,6.8,137.0,153.0,Gasolina,,
4735 AAB,Peugeot Nuevo 2008 2008 GT PureTech 155 S&S EAT8,D,6.1,6.8,137.0,153.0,Gasolina,,
4736 AAB,Peugeot Nuevo 2008 2008 GT PureTech 155 S&S EAT8,G,137.0,159.0,6.1,6.8,Gasolina,,
4737 AAB,Peugeot Nuevo 2008 2008 Roadtrip PureTech 100 S&S 6 Vel. MAN,C,5.4,6.1,121.0,137.0,Gasolina,,
4738 AAB,Peugeot Nuevo 2008 2008 Roadtrip Puretech 130 S&S 6 Vel. MAN.,C,5.4,6.2,121.0,141.0,Gasolina,,
4739 AAB,Peugeot Nuevo 2008 2008 Roadtrip PureTech 130 S&S EAT8,C,5.8,6.6,132.0,148.0,Gasolina,,
4740 AAB,Peugeot Nuevo 208 208 5P Active Pack PureTech 100 S&S 6 Vel. MAN,C,5.0,5.8,112.0,130.0,Gasolina,,
4741 AAB,Peugeot Nuevo 208 208 5P Active Pack PureTech 100 S&S EAT8,C,5.1,5.8,116.0,131.0,Gasolina,,
4742 AAB,Peugeot Nuevo 208 208 5P Active Pack PureTech 75 S&S 5 Vel. MAN,C,5.1,5.9,114.0,132.0,Gasolina,,
4743 AAB,Peugeot Nuevo 208 208 5P Active PureTech 100 S&S 6 Vel. MAN,C,5.3,6.1,121.0,137.0,Gasolina,,
4744 AAB,Peugeot Nuevo 208 208 5P Active PureTech 100 S&S EAT8,D,5.6,6.4,127.0,144.0,Gasolina,,
4745 AAB,Peugeot Nuevo 208 208 5P Active PureTech 100 S&S EAT8,D,5.6,6.4,127.0,144.0,Gasolina,,
4746 AAB,Peugeot Nuevo 208 208 5P Active PureTech 75 S&S 5 Vel. MAN,C,5.1,5.9,114.0,132.0,Gasolina,,
4747 AAB,Peugeot Nuevo 208 208 5P Allure Pack PureTech 100 S&S 6 Vel. MAN,C,5.0,5.8,112.0,130.0,Gasolina,,
4748 AAB,Peugeot Nuevo 208 208 5P Allure Pack PureTech 100 S&S EAT8,C,5.1,5.8,116.0,131.0,Gasolina,,
4749 AAB,Peugeot Nuevo 208 208 5P Allure Pack PureTech 130 S&S EAT8,C,5.2,5.6,117.0,133.0,Gasolina,,
4750 AAB,Peugeot Nuevo 208 208 5P Allure PureTech 100 S&S 6 Vel. MAN,C,5.0,5.8,112.0,130.0,Gasolina,,
4751 AAB,Peugeot Nuevo 208 208 5P Allure PureTech 100 S&S 6 Vel. MAN,C,5.3,6.1,121.0,137.0,Gasolina,,
4752 AAB,Peugeot Nuevo 208 208 5P Allure PureTech 100 S&S EAT8,C,5.1,5.8,116.0,131.0,Gasolina,,
4753 AAB,Peugeot Nuevo 208 208 5P Allure PureTech 130 S&S EAT8,C,5.4,6.1,123.0,139.0,Gasolina,,
4754 AAB,Peugeot Nuevo 208 208 5P Business Line PureTech 75 S&S 5 Vel. MAN,C,5.1,5.9,114.0,132.0,Gasolina,,
4755 AAB,Peugeot Nuevo 208 208 5P GT Lime PureTech 100 S&S 6 Vel. MAN,C,5.3,6.1,121.0,137.0,Gasolina,,
4756 AAB,Peugeot Nuevo 208 208 5P GT Line PureTech 100 S&S EAT8,D,5.6,6.4,127.0,144.0,Gasolina,,
4757 AAB,Peugeot Nuevo 208 208 5P GT Line PureTech 130 S&S EAT8,C,5.4,6.1,123.0,139.0,Gasolina,,
4758 AAB,Peugeot Nuevo 208 208 5P GT Pack PureTech 100 S&S 6 Vel. MAN,C,5.0,5.8,112.0,130.0,Gasolina,,
4759 AAB,Peugeot Nuevo 208 208 5P GT Pack PureTech 100 S&S EAT8,C,5.1,5.8,116.0,131.0,Gasolina,,
4760 AAB,Peugeot Nuevo 208 208 5P GT Pack PureTech 130 S&S EAT8,C,5.2,5.6,117.0,133.0,Gasolina,,
4761 AAB,Peugeot Nuevo 208 208 5P GT PureTech 100 S&S 6 Vel. MAN,C,5.0,5.8,112.0,130.0,Gasolina,,
4762 AAB,Peugeot Nuevo 208 208 5P GT PureTech 100 S&S EAT8,C,5.1,5.8,116.0,131.0,Gasolina,,
4763 AAB,Peugeot Nuevo 208 208 5P GT PureTech 130 S&S EAT8,C,5.2,5.6,117.0,133.0,Gasolina,,
4764 AAB,Peugeot Nuevo 208 208 5P Like PureTech 75 S&S 5 Vel. MAN,C,5.1,5.9,114.0,132.0,Gasolina,,
4765 AAB,Peugeot Nuevo 308 Nuevo 308 5P Active Pack Puretech 110 S&S MAN,B,5.3,6.3,119.0,142.0,Gasolina,,
4766 AAB,Peugeot Nuevo 308 Nuevo 308 5P Active Pack Puretech 130 S&S EAT8,B,5.4,6.5,122.0,147.0,Gasolina,,
4767 AAB,Peugeot Nuevo 308 Nuevo 308 5P Active Pack Puretech 130 S&S MAN,B,5.3,6.4,119.0,145.0,Gasolina,,
4768 AAB,Peugeot Nuevo 308 Nuevo 308 5P Allure Pack Puretech 130 S&S EAT8,B,5.4,6.5,122.0,147.0,Gasolina,,
4769 AAB,Peugeot Nuevo 308 Nuevo 308 5P Allure Pack Puretech 130 S&S MAN,B,5.3,6.4,119.0,145.0,Gasolina,,
4770 AAB,Peugeot Nuevo 308 Nuevo 308 5P Allure Puretech 130 S&S EAT8,B,5.4,6.5,122.0,147.0,Gasolina,,
4771 AAB,Peugeot Nuevo 308 Nuevo 308 5P Allure Puretech 130 S&S MAN,B,5.3,6.4,119.0,145.0,Gasolina,,
4772 AAB,Peugeot Nuevo 308 Nuevo 308 5P GT Pack Puretech 130 S&S EAT8,B,5.4,6.5,122.0,147.0,Gasolina,,
4773 AAB,Peugeot Nuevo 308 Nuevo 308 5P GT Puretech 130 S&S EAT8,B,5.4,6.5,122.0,147.0,Gasolina,,
4774 AAB,Peugeot Nuevo 308 Nuevo 308 SW Active Pack Puretech 110 S&S MAN,A,5.3,6.3,119.0,142.0,Gasolina,,
4775 AAB,Peugeot Nuevo 308 Nuevo 308 SW Active Pack Puretech 130 S&S EAT8,B,5.4,6.5,122.0,147.0,Gasolina,,
4776 AAB,Peugeot Nuevo 308 Nuevo 308 SW Active Pack Puretech 130 S&S MAN,A,5.3,6.4,119.0,145.0,Gasolina,,
4777 AAB,Peugeot Nuevo 308 Nuevo 308 SW Allure Pack Puretech 130 S&S EAT8,B,5.4,6.5,122.0,147.0,Gasolina,,
4778 AAB,Peugeot Nuevo 308 Nuevo 308 SW Allure Pack Puretech 130 S&S MAN,A,5.3,6.4,119.0,145.0,Gasolina,,
4779 AAB,Peugeot Nuevo 308 Nuevo 308 SW Allure Puretech 130 S&S EAT8,B,5.4,6.5,122.0,147.0,Gasolina,,
4780 AAB,Peugeot Nuevo 308 Nuevo 308 SW Allure Puretech 130 S&S MAN,A,5.3,6.4,119.0,145.0,Gasolina,,
4781 AAB,Peugeot Nuevo 308 Nuevo 308 SW GT Pack Puretech 130 S&S EAT8,B,5.4,6.5,122.0,147.0,Gasolina,,
4782 AAB,Peugeot Nuevo 308 Nuevo 308 SW GT Puretech 130 S&S EAT8,B,5.4,6.5,122.0,147.0,Gasolina,,
4783 AAB,Peugeot Rifter Nuevo Rifter Access PureTech 110 S&S 6 Vel. MAN Long,C,6.7,7.5,150.0,170.0,Gasolina,,
4784 AAB,Peugeot Rifter Nuevo Rifter Access PureTech 110 S&S 6 Vel. MAN Standard,D,6.7,7.5,150.0,170.0,Gasolina,,
4785 AAB,Peugeot Rifter Nuevo Rifter Active PureTech 110 S&S 6 Vel. MAN Long,C,6.7,7.5,150.0,170.0,Gasolina,,
4786 AAB,Peugeot Rifter Nuevo Rifter Active PureTech 110 S&S 6 Vel. MAN Long,C,6.5,7.7,147.0,174.0,Gasolina,,
4787 AAB,Peugeot Rifter Nuevo Rifter Active PureTech 110 S&S 6 Vel. MAN Standard,D,6.5,7.7,147.0,174.0,Gasolina,,
4788 AAB,Peugeot Rifter Nuevo Rifter Active PureTech 110 S&S 6 Vel. MAN Standard,D,6.7,7.5,150.0,170.0,Gasolina,,
4789 AAB,Peugeot Rifter Nuevo Rifter Allure PureTech 110 S&S 6 Vel MAN Long,C,6.5,7.7,147.0,174.0,Gasolina,,
4790 AAB,Peugeot Rifter Nuevo Rifter Allure PureTech 110 S&S 6 Vel. MAN Long,C,6.7,7.5,150.0,170.0,Gasolina,,
4791 AAB,Peugeot Rifter Nuevo Rifter Allure PureTech 110 S&S 6 Vel. MAN Standard,D,6.7,7.5,150.0,170.0,Gasolina,,
4792 AAB,Peugeot Rifter Nuevo Rifter Allure PureTech 110 S&S 6 Vel. MAN Standard,D,6.5,7.7,147.0,174.0,Gasolina,,
4793 AAB,Peugeot Rifter Nuevo Rifter Allure PureTech 130 S&S EAT8 Long,C,6.6,7.8,149.0,176.0,Gasolina,,
4794 AAB,Peugeot Rifter Nuevo Rifter Allure PureTech 130 S&S EAT8 Standard,D,6.6,7.8,149.0,176.0,Gasolina,,
4795 AAB,Peugeot Rifter Nuevo Rifter GT Line PureTech 110 S&S 6 Vel. MAN Long,C,6.7,7.5,150.0,170.0,Gasolina,,
4796 AAB,Peugeot Rifter Nuevo Rifter GT Line PureTech 110 S&S 6 Vel. MAN Standard,D,6.7,7.5,150.0,170.0,Gasolina,,
4797 AAB,Peugeot Rifter Nuevo Rifter GT Line PureTech 130 S&S EAT8 Long,C,6.6,7.8,149.0,176.0,Gasolina,,
4798 AAB,Peugeot Rifter Nuevo Rifter GT Line PureTech 130 S&S EAT8 Standard,D,6.6,7.8,149.0,176.0,Gasolina,,
4799 AAB,Peugeot Rifter Nuevo Rifter NAV+ PureTech 110 S&S 6 Vel. MAN Long,C,6.5,7.7,147.0,174.0,Gasolina,,
4800 AAB,Peugeot Rifter Nuevo Rifter NAV+ PureTech 110 S&S 6 Vel. MAN Standard,D,6.5,7.7,147.0,174.0,Gasolina,,
4801 AAB,Peugeot Rifter Rifter Active Pack PureTech 110 S&S 6 Vel. MAN Long,B,6.2,7.4,140.0,167.0,Gasolina,,
4802 AAB,Peugeot Rifter Rifter Active Pack PureTech 110 S&S 6 Vel. MAN Standard,C,6.2,7.4,140.0,167.0,Gasolina,,
4803 AAB,Peugeot Rifter Rifter Allure Pack PureTech 130 S&S EAT8 7 plazas Long,C,6.5,7.7,146.0,173.0,Gasolina,,
4804 AAB,Peugeot Rifter Rifter Allure Pack PureTech 130 S&S EAT8 Long,C,6.5,7.7,146.0,173.0,Gasolina,,
4805 AAB,Peugeot Rifter Rifter Allure Pack PureTech 130 S&S EAT8 Standard,D,6.5,7.7,146.0,173.0,Gasolina,,
4806 AAB,Peugeot Rifter Rifter Allure PureTech 110 S&S 6 Vel. MAN Long,B,6.2,7.4,140.0,167.0,Gasolina,,
4807 AAB,Peugeot Rifter Rifter Allure PureTech 110 S&S 6 Vel. MAN Standard,C,6.2,7.4,140.0,167.0,Gasolina,,
4808 AAB,Peugeot Rifter Rifter GT PureTech 130 S&S EAT8 7 plazasLong,C,6.5,7.7,146.0,173.0,Gasolina,,
4809 AAB,Peugeot Rifter Rifter GT PureTech 130 S&S EAT8 Long,C,6.5,7.7,146.0,173.0,Gasolina,,
4810 AAB,Peugeot Rifter Rifter GT PureTech 130 S&S EAT8 Standard,D,6.5,7.7,146.0,173.0,Gasolina,,
4811 AAB,Peugeot Rifter Rifter Style PureTech 110 S&S 6 Vel. MAN Long,B,6.2,7.4,140.0,167.0,Gasolina,,
4812 AAB,Peugeot Rifter Rifter Style PureTech 110 S&S 6 Vel. MAN Standard,C,6.2,7.4,140.0,167.0,Gasolina,,
4813 AAB,"Porsche 718 Boxster Cabrio, automático",G,8.7,9.3,196.0,210.0,Gasolina,,
4814 AAB,"Porsche 718 Boxster Cabrio, manual",G,9.1,9.8,207.0,221.0,Gasolina,,
4815 AAB,"Porsche 718 Boxster GTS 4.0 Cabrio, automático",G,10.1,10.1,230.0,230.0,Gasolina,,
4816 AAB,"Porsche 718 Boxster GTS 4.0 Cabrio, manual",G,10.9,10.9,247.0,247.0,Gasolina,,
4817 AAB,"Porsche 718 Boxster S Cabrio, automático",G,9.4,10.0,213.0,226.0,Gasolina,,
4818 AAB,"Porsche 718 Boxster S Cabrio, manual",G,9.9,10.4,224.0,235.0,Gasolina,,
4819 AAB,"Porsche 718 Boxster Spyder Cabrio, automático",G,10.7,10.7,242.0,242.0,Gasolina,,
4820 AAB,"Porsche 718 Boxster Spyder Cabrio, manual",G,11.1,11.1,251.0,251.0,Gasolina,,
4821 AAB,"Porsche 718 Boxster T Cabrio, automático",G,8.7,9.3,196.0,210.0,Gasolina,,
4822 AAB,"Porsche 718 Boxster T Cabrio, manual",G,9.1,9.8,207.0,221.0,Gasolina,,
4823 AAB,"Porsche 718 Cayman Coupé, automático",G,8.7,9.3,196.0,210.0,Gasolina,,
4824 AAB,"Porsche 718 Cayman Coupé, manual",G,9.1,9.8,207.0,221.0,Gasolina,,
4825 AAB,"Porsche 718 Cayman GT4 Coupé, automático",G,10.7,10.7,242.0,242.0,Gasolina,,
4826 AAB,"Porsche 718 Cayman GT4 RS (AM2024.5) Coupé, automático, RWD",G,13.0,13.0,295.0,295.0,Gasolina,,
4827 AAB,"Porsche 718 Cayman GT4 RS Coupé, automático, RWD",G,13.2,13.2,299.0,299.0,Gasolina,,
4828 AAB,"Porsche 718 Cayman S Coupé, automático",G,9.4,10.0,213.0,226.0,Gasolina,,
4829 AAB,"Porsche 718 Cayman S Coupé, manual",G,9.9,10.4,224.0,235.0,Gasolina,,
4830 AAB,"Porsche 718 Cayman T Coupé, automático",G,8.7,9.3,196.0,210.0,Gasolina,,
4831 AAB,"Porsche 718 Cayman T Coupé, manual",G,9.1,9.8,207.0,221.0,Gasolina,,
4832 AAB,"Porsche 718 Spyder RS (AM2024.5) Cabriolet, 2 plazas",G,12.7,13.0,288.0,288.0,Gasolina,,
4833 AAB,"Porsche 718 Spyder RS (AM2024) Cabriolet, 2 plazas",G,13.0,13.0,294.0,294.0,Gasolina,,
4834 AAB,"Porsche 718 Spyder RS Cabriolet,2 plazas",G,10.7,10.7,242.0,242.0,Gasolina,,
4835 AAB,Porsche 911 Carrera Cabrio,G,10.0,11.0,227.0,249.0,Gasolina,,
4836 AAB,"Porsche 911 Carrera Cabrio, RWD (4 plazas)",G,9.9,10.8,225.0,245.0,Gasolina,,
4837 AAB,Porsche 911 Carrera Coupé,G,10.0,11.0,227.0,249.0,Gasolina,,
4838 AAB,"Porsche 911 Carrera Coupé, RWD (2 o 4 plazas)",G,9.9,10.8,225.0,245.0,Gasolina,,
4839 AAB,"Porsche 911 Carrera 4S Cabrio, auto.",G,10.3,11.3,233.0,257.0,Gasolina,,
4840 AAB,"Porsche 911 Carrera 4S Cabrio, man.",G,9.9,11.0,225.0,250.0,Gasolina,,
4841 AAB,"Porsche 911 Carrera 4S Coupé, auto.",G,10.3,11.3,233.0,257.0,Gasolina,,
4842 AAB,"Porsche 911 Carrera 4S Coupé, man.",G,9.9,11.0,225.0,250.0,Gasolina,,
4843 AAB,"Porsche 911 Carrera 4S Cupé, AWD, 480 CV, Caja Automática, 2/4 Plazas",G,10.2,11.2,232.0,254.0,Gasolina,,
4844 AAB,"Porsche 911 Carrera 4S Descapotable, AWD, 480 CV, Caja Automática,4 Plazas",G,10.2,11.2,232.0,254.0,Gasolina,,
4845 AAB,"Porsche 911 Carrera S Cupé,RWD,Automático,(4 plazas)",G,10.1,10.9,228.0,248.0,Gasolina,,
4846 AAB,"Porsche 911 Carrera S Descapotable,RWD,Automático,4 plazas",G,10.1,10.9,228.0,248.0,Gasolina,,
4847 AAB,"Porsche 911 Carrera T Coupé, RWD (2 o 4 plazas) MT",G,10.3,11.1,233.0,252.0,Gasolina,,
4848 AAB,"Porsche 911 Carrera T Cupé,RWD,Caja Manual,(2 plazas)",G,10.3,11.1,233.0,252.0,Gasolina,,
4849 AAB,"Porsche 911 Carrera T Cupé,RWD,Caja Manual,(4 plazas)",G,10.3,11.1,233.0,252.0,Gasolina,,
4850 AAB,"Porsche 911 Carrera T Descapotable, RWD (4 plazas) MT",G,10.3,11.1,233.0,252.0,Gasolina,,
4851 AAB,"Porsche 911 Carrera T Descapotable,RWD,Caja Manual,(4 plazas)",G,10.3,11.1,233.0,252.0,Gasolina,,
4852 AAB,Porsche 911 Dakar Coupé (2 plazas),G,11.3,11.3,256.0,256.0,Gasolina,,
4853 AAB,"Porsche 911 GT3 Coupé, RWD (2 o 4 plazas) MT",G,13.7,13.7,310.0,310.0,Gasolina,,
4854 AAB,"Porsche 911 GT3 Coupé, RWD (2 plazas) AT",G,13.8,13.8,312.0,312.0,Gasolina,,
4855 AAB,"Porsche 911 GT3 Coupé, RWD (4 plazas) AT",G,13.8,13.8,312.0,312.0,Gasolina,,
4856 AAB,"Porsche 911 GT3 Coupé,Touring package, RWD (4 plazas) MT",G,13.7,13.7,310.0,310.0,Gasolina,,
4857 AAB,"Porsche 911 GT3 Cupé,RWD,Automático,(2 plazas)",G,13.8,13.8,312.0,312.0,Gasolina,,
4858 AAB,"Porsche 911 GT3 Cupé,RWD,Automático,(4 plazas)",G,13.8,13.8,312.0,312.0,Gasolina,,
4859 AAB,"Porsche 911 GT3 Cupé,RWD,Caja Manual,(2 plazas)",G,13.7,13.7,310.0,310.0,Gasolina,,
4860 AAB,"Porsche 911 GT3 Cupé,RWD,Caja Manual,(4 plazas)",G,13.7,13.7,310.0,310.0,Gasolina,,
4861 AAB,"Porsche 911 GT3 RS (AM2024.5) Coupé, 2 plazas",G,13.2,13.2,299.0,299.0,Gasolina,,
4862 AAB,Porsche 911 GT3 RS Coupé (2 plazas),G,13.5,13.5,305.0,305.0,Gasolina,,
4863 AAB,"Porsche 911 S/T Coupé, 2 plazas",G,13.8,13.8,313.0,313.0,Gasolina,,
4864 AAB,Porsche 911 Sport Classic Coupé (2 plazas),G,12.6,12.6,285.0,285.0,Gasolina,,
4865 AAB,Porsche 911 Sport Classic Coupé (4 plazas),G,12.6,12.6,285.0,285.0,Gasolina,,
4866 AAB,Porsche 911 Targa 4 Cabrio,G,10.1,11.1,228.0,251.0,Gasolina,,
4867 AAB,"Porsche 911 Targa 4 GTS Cabrio, automático",G,10.5,11.6,239.0,262.0,Gasolina,,
4868 AAB,"Porsche 911 Targa 4 GTS Cabrio, manual",G,10.4,11.3,235.0,255.0,Gasolina,,
4869 AAB,"Porsche 911 Targa 4S Cabrio, automático",G,10.3,11.3,233.0,257.0,Gasolina,,
4870 AAB,"Porsche 911 Targa 4S Cabrio, manual",G,9.9,11.0,225.0,250.0,Gasolina,,
4871 AAB,"Porsche 911 Targa 4S Descapotable, AWD, 480 CV, Caja Automática,4 Plazas",G,10.2,11.2,232.0,254.0,Gasolina,,
4872 AAB,"Porsche 911 Turbo 50 Cupé, AWD, caja automática, 650 cv, (2 plazas)",G,11.9,12.7,270.0,288.0,Gasolina,,
4873 AAB,"Porsche 911 Turbo 50 Cupé, AWD, caja automática, 650 cv, (4 plazas)",G,11.9,12.7,270.0,288.0,Gasolina,,
4874 AAB,Porsche 911 Turbo Cabrio,G,11.6,12.5,262.0,284.0,Gasolina,,
4875 AAB,Porsche 911 Turbo Coupé,G,11.6,12.5,262.0,284.0,Gasolina,,
4876 AAB,Porsche 911 Turbo S Cabrio,G,11.6,12.5,262.0,284.0,Gasolina,,
4877 AAB,Porsche 911 Turbo S Coupé,G,11.6,12.5,262.0,284.0,Gasolina,,
4878 AAB,Porsche Cayenne Coupé,E,10.4,11.3,10.4,11.3,Gasolina,,
4879 AAB,Porsche Cayenne Coupé,F,11.3,12.2,11.3,12.2,Gasolina,,
4880 AAB,"Porsche Cayenne GTS Coupé, AWD (4 o 5 plazas)",G,11.9,12.9,271.0,293.0,Gasolina,,
4881 AAB,"Porsche Cayenne GTS SUV, AWD (5 plazas)",G,11.9,12.9,271.0,293.0,Gasolina,,
4882 AAB,"Porsche Cayenne S Coupé, 4 plzs.",G,11.8,13.0,95.6,108.0,Gasolina,,
4883 AAB,"Porsche Cayenne S Coupé, 5 plzs.",G,11.8,13.0,85.6,95.6,Gasolina,,
4884 AAB,Porsche Cayenne S SUV,G,11.8,13.0,85.6,95.6,Gasolina,,
4885 AAB,Porsche Macan Automático,F,9.7,10.8,219.0,244.0,Gasolina,,
4886 AAB,Porsche Macan GTS Automático,G,11.1,11.7,251.0,265.0,Gasolina,,
4887 AAB,Porsche Macan S Automático,G,10.6,11.7,240.0,266.0,Gasolina,,
4888 AAB,Porsche Macan T Automático,F,9.7,10.8,219.0,244.0,Gasolina,,
4889 AAB,Porsche Panamera 4 Berlina,E,10.2,11.5,232.0,260.0,Gasolina,,
4890 AAB,"Porsche Panamera 4 Berlina Deportiva, 4/5 plazas, AWD AM25",E,9.9,11.2,225.0,253.0,Gasolina,,
4891 AAB,Porsche Panamera 4 Executive,E,10.2,11.5,232.0,260.0,Gasolina,,
4892 AAB,Porsche Panamera 4 Sport Turismo,E,10.2,11.5,232.0,260.0,Gasolina,,
4893 AAB,"Porsche Panamera 4, 4 plazas Berlina, AWD",E,9.9,11.2,225.0,253.0,Gasolina,,
4894 AAB,"Porsche Panamera 4, 5 plazas Berlina, AWD",E,9.9,11.2,225.0,253.0,Gasolina,,
4895 AAB,Porsche Panamera 4S Berlina,E,10.2,11.5,231.0,260.0,Gasolina,,
4896 AAB,Porsche Panamera 4S Executive,E,10.2,11.5,231.0,260.0,Gasolina,,
4897 AAB,Porsche Panamera 4S Sport Turismo,E,10.2,11.5,231.0,260.0,Gasolina,,
4898 AAB,Porsche Panamera Berlina,E,10.0,11.4,227.0,258.0,Gasolina,,
4899 AAB,"Porsche Panamera Berlina Deportiva, 4/5 plazas, RWD (AM25)",D,9.5,10.5,215.0,239.0,Gasolina,,
4900 AAB,Porsche Panamera GTS Berlina,G,12.0,13.2,271.0,300.0,Gasolina,,
4901 AAB,"Porsche Panamera GTS Berlina Deportiva, 4/5 plazas, AWD, Eco AM25",G,11.4,12.7,260.0,290.0,Gasolina,,
4902 AAB,"Porsche Panamera GTS Berlina, 500 cv, AWD, (4/5 plazas) - AM 2024",A,1.2,12.7,260.0,290.0,Gasolina,,
4903 AAB,Porsche Panamera GTS Sport Turismo,G,12.0,13.2,271.0,300.0,Gasolina,,
4904 AAB,Porsche Panamera Turbo S Berlina,G,12.5,13.3,284.0,302.0,Gasolina,,
4905 AAB,Porsche Panamera Turbo S Executive,G,12.5,13.3,284.0,302.0,Gasolina,,
4906 AAB,Porsche Panamera Turbo S Sport Turismo,G,12.5,13.3,284.0,302.0,Gasolina,,
4907 AAB,"Porsche Panamera, 4 plazas Berlina, RWD",D,9.5,10.5,215.0,239.0,Gasolina,,
4908 AAB,"Porsche Panamera, 5 plazas Berlina, RWD",D,9.5,10.5,215.0,239.0,Gasolina,,
4909 AAB,"Renault Captur CP1 TCe 103 kW (140CV) EDC GPF (semi: ITAN1HA 6US, IT2N0HA 6US)",C,5.8,6.3,131.4,142.6,Gasolina,103.0,103.0
4910 AAB,"Renault Captur CP1 TCe 103 kW (140CV) EDC GPF Dfull (semi: ITAN0HA 6US, IT2N0HA 6US, E3MN0HA 6US, E3WN0HA 6US)",C,5.8,6.3,131.4,142.6,Gasolina,103.0,103.0
4911 AAB,"Renault Captur CP1 TCe 103 kW (140CV) EDC GPF Dfull (semi: ITAN0HA 6US, IT2N0HA 6US)",C,5.8,6.3,131.4,142.6,Gasolina,103.0,103.0
4912 AAB,Renault Captur CP1 TCe 103 kW (140CV) EDC GPF Dfull (semi: S3MN0HA 6US),C,5.8,6.3,131.4,142.6,Gasolina,103.0,103.0
4913 AAB,"Renault Captur CP1 TCe 103 kW (140CV) GPF Dfull (semi: BLWN0H6 6US, E3WN0H6 6US,V3WN0H6 6US)",C,5.7,6.1,129.1,137.8,Gasolina,103.0,103.0
4914 AAB,"Renault Captur CP1 TCe 103 kW (140CV) GPF Dfull (semi: E2MN0H6 6US, E3MN0H6 6US, VVMN0H6 6US)",C,5.7,6.1,129.1,137.8,Gasolina,103.0,103.0
4915 AAB,"Renault Captur CP1 TCe 103 kW (140CV) GPF Dfull (semi: S2MN0H6 6US, S3MN0H6 6US,V3MN0H6 6US)",C,5.7,6.1,129.1,137.8,Gasolina,103.0,103.0
4916 AAB,"Renault Captur CP1 TCe 103 kW (140CV) GPF Dfull (semi: ZEAN0H6 6US,ITAN0H6 6US)",C,5.7,6.1,129.1,137.8,Gasolina,103.0,103.0
4917 AAB,"Renault Captur CP1 TCe 113 kW (155CV) EDC GPF (semi: ITAMNHA 6TH, IT2MNHA 6TH con PREM01)",D,6.2,6.6,139.0,150.0,Gasolina,113.0,113.0
4918 AAB,"Renault Captur CP1 TCe 113 kW (155CV) EDC GPF (semi: ITAMNHA 6TH, IT2MNHA 6TH RALU18 con PREM01)",D,6.2,6.6,139.0,150.0,Gasolina,113.0,113.0
4919 AAB,"Renault Captur CP1 TCe 113 kW (155CV) EDC GPF (semi: ITAMNHA 6TH, IT2MNHA,6TH RALU18)",D,6.2,6.6,139.0,150.0,Gasolina,113.0,113.0
4920 AAB,"Renault Captur CP1 TCe 113 kW (155CV) EDC GPF (semi: ITAMNHA 6TH, IT2MNHA)",D,6.2,6.6,139.0,150.0,Gasolina,113.0,113.0
4921 AAB,Renault Captur CP1 TCe 116 kW (160CV) EDC GPF (semi: RSMN1HA 6US),C,5.8,6.3,131.5,142.5,Gasolina,116.0,116.0
4922 AAB,"Renault Captur CP1 TCe 67kW (90CV) (semi: LIAM6H6 6US, ZEAM6H6 6US, ITAM6H6 6US)",C,5.8,6.2,130.0,141.0,Gasolina,67.0,67.0
4923 AAB,"Renault Captur CP1 TCe 67kW (90CV) Dfull (semi: 6H6 6US, S2MM6H6 6US, S3MM6H6 6US, RSMM6H6 6US,BLWM6H6 6US,E3WM6H6 6US)",C,5.8,6.2,130.0,141.0,Gasolina,67.0,67.0
4924 AAB,"Renault Captur CP1 TCe 67kW (90CV) Dfull (semi: LIAM6H6 6US, ZEAM6H6 6US , ITAM6H6 6US, E2MM6H6 6US, E3MM6H6 6US)",C,5.8,6.2,130.0,141.0,Gasolina,67.0,67.0
